Player_ID;Player;Negotiations;Fights;Total;Attrition
12782869;Qi the coconut;0;5865;5865;34
705849;lasherbob;0;5761;5761;95
2277993;Crusaderx;0;5632;5632;84
1758550;marco965;0;5607;5607;77
9795849;Magnus the Terrible 439;415;4756;5586;72
851598404;-Baba Yaga-;0;5562;5562;62
851914808;Selene the Blessed 1233;0;5374;5374;19
849380627;FastGunner;0;5074;5074;53
855031788;Blackcong;0;4854;4854;88
9762415;0p1ate;0;4825;4825;30
10593569;Badvok the Bold;0;4525;4525;36
8622496;Waynes world1;0;4411;4411;80
854681998;Zodman;0;4378;4378;39
855299275;Thesseuss;0;4222;4222;0
854648420;Pollar;0;4124;4124;2
4194345;becop;0;4043;4043;50
45238;Frodoo;0;3975;3975;0
853735377;MOMIS;0;3820;3820;0
849603210;TSTT;0;3732;3732;59
853267111;Kuniggsbog;0;3542;3542;0
11245188;Bernini;0;3436;3436;0
11807816;Dpunk;0;3417;3417;6
5544177;michealscott123;0;3181;3181;0
855546281;pForm;0;3180;3180;53
11899618;Master A;0;3064;3064;0
851800597;Meandmyself;0;2937;2937;0
6141929;Carra;0;2843;2843;59
827787;pywackit;0;2715;2715;12
854719448;ludwig2;0;2692;2692;50
1891201;edman4444;0;2605;2605;0
849566070;Aspandiat;0;2601;2601;0
850518321;alterdestiny;0;2541;2541;0
851298155;willow324;0;2423;2423;0
854882618;CCCC123;0;2360;2360;5
12351572;Cliff59;0;2297;2297;12
850445151;Swan76;46;2181;2273;1
851616738;MagicI;0;2272;2272;78
5367654;King John of Ambler;0;2260;2260;0
4225910;Hadrian the Intrepid 121;0;2137;2137;42
12992719;ChilliBeanz62;0;2072;2072;29
849612867;TINY HEROS;0;1959;1959;0
850331824;Brocksta;0;1955;1955;12
4749897;DutchTheIV;0;1946;1946;39
851585890;SharpSabrina;0;1881;1881;0
13309306;Ser Arthur Dayne.;2;1786;1790;0
853520455;Phillip the Fair;0;1706;1706;15
5374197;Pammy Norrie;0;1546;1546;28
1436378;Dn4lor;0;1477;1477;18
850307582;Rex Bellator;0;1404;1404;0
9574867;Salikas;0;1290;1290;0
104779;VITORO;0;1281;1281;21
854719004;soldier00;0;1259;1259;0
850665098;Ellwinara;0;1245;1245;1
853106102;Brad Field of green;0;1092;1092;0
11482655;El Kabong;0;1053;1053;43
761097;gareth dragonsbane;0;1050;1050;0
6730017;Peace.;0;1025;1025;88
2465641;=Alpha=Wolf=;0;1019;1019;0
1724508;cvetkovic;0;973;973;0
854714000;sixtyodin;5;892;902;0
854554840;SirRobert Artur;0;647;647;0
1148549;mehdialone;0;640;640;8
853797540;Odinn;0;615;615;14
852293256;Rolanddd;0;187;187;0
849762034;Diddler;0;0;0;0
850938639;Green II;0;0;0;0
853774595;Mr Sonic;0;0;0;0
